


  ,  ,470.000 ,471.161 ,472.321 ,473.482 ,474.643 ,475.804 ,476.964 ,478.125 ,479.286 ,480.446 ,481.607 ,482.768 ,483.929 ,485.089 ,486.250 ,487.411 ,488.571 ,489.732 ,490.893 ,492.054 ,493.214 ,494.375 ,495.536 ,496.696 ,497.857 ,499.018 ,500.179 ,501.339 ,502.500 ,503.661 ,504.821 ,505.982 ,507.143 ,508.304 ,509.464 ,510.625 ,511.786 ,512.946 ,514.107 ,515.268 ,516.429 ,517.589 ,518.750 ,519.911 ,521.071 ,522.232 ,523.393 ,524.554 ,525.714 ,526.875 ,528.036 ,529.196 ,530.357 ,531.518 ,532.679 ,533.839 ,535.000 ,536.161 ,537.321 ,538.482 ,539.643 ,540.804 ,541.964 ,543.125 ,544.286 ,545.446 ,546.607 ,547.768 ,548.929 ,550.089 ,551.250 ,552.411 ,553.571 ,554.732 ,555.893 ,557.054 ,558.214 ,559.375 ,560.536 ,561.696 ,562.857 ,564.018 ,565.179 ,566.339 ,567.500 ,568.661 ,569.821 ,570.982 ,572.143 ,573.304 ,574.464 ,575.625 ,576.786 ,577.946 ,579.107 ,580.268 ,581.429 ,582.589 ,583.750 ,584.911 ,586.071 ,587.232 ,588.393 ,589.554 ,590.714 ,591.875 ,593.036 ,594.196 ,595.357 ,596.518 ,597.679 ,598.839

Mar Thu 31 00:09:45 2016,  , -103 ,-102 ,-100 ,-98 ,-98 ,-105 ,-104 ,-107 ,-99 ,-104 ,-99 ,-97 ,-103 ,-103 ,-105 ,-104 ,-108 ,-102 ,-105 ,-110 ,-103 ,-106 ,-110 ,-112 ,-108 ,-110 ,-105 ,-112 ,-98 ,-104 ,-109 ,-101 ,-104 ,-104 ,-107 ,-107 ,-103 ,-109 ,-102 ,-103 ,-106 ,-107 ,-105 ,-101 ,-96 ,-99 ,-98 ,-93 ,-99 ,-102 ,-107 ,-108 ,-100 ,-100 ,-103 ,-94 ,-99 ,-95 ,-90 ,-85 ,-70 ,-30 ,-77 ,-59 ,-92 ,-92 ,-93 ,-92 ,-89 ,-95 ,-102 ,-106 ,-96 ,-105 ,-103 ,-85 ,-85 ,-91 ,-93 ,-92 ,-99 ,-109 ,-113 ,-108 ,-109 ,-110 ,-107 ,-109 ,-108 ,-100 ,-108 ,-101 ,-110 ,-110 ,-104 ,-100 ,-110 ,-106 ,-110 ,-112 ,-106 ,-101 ,-101 ,-109 ,-107 ,-107 ,-110 ,-112 ,-106 ,-108 ,-108 ,-105
Mar Thu 31 00:09:46 2016,  , -103 ,-106 ,-105 ,-96 ,-104 ,-107 ,-102 ,-106 ,-100 ,-105 ,-100 ,-97 ,-97 ,-101 ,-102 ,-102 ,-107 ,-106 ,-104 ,-106 ,-103 ,-107 ,-109 ,-108 ,-113 ,-108 ,-105 ,-109 ,-98 ,-107 ,-107 ,-105 ,-109 ,-106 ,-108 ,-111 ,-103 ,-107 ,-108 ,-106 ,-112 ,-104 ,-107 ,-104 ,-94 ,-99 ,-95 ,-96 ,-99 ,-105 ,-107 ,-104 ,-100 ,-104 ,-104 ,-93 ,-96 ,-92 ,-90 ,-88 ,-68 ,-30 ,-78 ,-63 ,-87 ,-92 ,-91 ,-89 ,-89 ,-95 ,-105 ,-102 ,-103 ,-100 ,-102 ,-83 ,-86 ,-96 ,-93 ,-92 ,-101 ,-102 ,-111 ,-105 ,-106 ,-108 ,-108 ,-109 ,-106 ,-98 ,-108 ,-98 ,-107 ,-108 ,-104 ,-97 ,-110 ,-106 ,-111 ,-111 ,-111 ,-103 ,-102 ,-105 ,-107 ,-106 ,-104 ,-107 ,-100 ,-103 ,-107 ,-98
Mar Thu 31 00:09:48 2016,  , -109 ,-105 ,-100 ,-99 ,-105 ,-107 ,-102 ,-101 ,-99 ,-104 ,-106 ,-97 ,-104 ,-101 ,-107 ,-106 ,-102 ,-110 ,-106 ,-104 ,-105 ,-108 ,-103 ,-109 ,-105 ,-106 ,-106 ,-113 ,-103 ,-105 ,-110 ,-103 ,-105 ,-106 ,-105 ,-112 ,-104 ,-106 ,-109 ,-106 ,-112 ,-107 ,-110 ,-97 ,-94 ,-99 ,-98 ,-96 ,-97 ,-104 ,-104 ,-105 ,-101 ,-99 ,-102 ,-93 ,-97 ,-92 ,-88 ,-85 ,-71 ,-30 ,-76 ,-63 ,-92 ,-95 ,-93 ,-89 ,-87 ,-98 ,-105 ,-105 ,-100 ,-102 ,-100 ,-85 ,-83 ,-93 ,-96 ,-93 ,-99 ,-106 ,-110 ,-107 ,-105 ,-108 ,-112 ,-112 ,-113 ,-98 ,-107 ,-103 ,-109 ,-106 ,-109 ,-100 ,-110 ,-108 ,-114 ,-107 ,-110 ,-104 ,-105 ,-108 ,-107 ,-101 ,-103 ,-109 ,-104 ,-105 ,-109 ,-103
Mar Thu 31 00:09:49 2016,  , -109 ,-106 ,-103 ,-96 ,-103 ,-107 ,-104 ,-101 ,-100 ,-104 ,-106 ,-99 ,-101 ,-99 ,-102 ,-107 ,-107 ,-109 ,-106 ,-106 ,-104 ,-106 ,-111 ,-111 ,-108 ,-113 ,-112 ,-108 ,-101 ,-105 ,-112 ,-99 ,-111 ,-107 ,-108 ,-106 ,-106 ,-107 ,-104 ,-106 ,-108 ,-112 ,-105 ,-98 ,-96 ,-101 ,-95 ,-96 ,-96 ,-104 ,-105 ,-104 ,-104 ,-105 ,-97 ,-96 ,-97 ,-92 ,-90 ,-88 ,-69 ,-30 ,-76 ,-61 ,-87 ,-95 ,-91 ,-94 ,-89 ,-98 ,-99 ,-101 ,-100 ,-102 ,-104 ,-83 ,-86 ,-93 ,-91 ,-93 ,-99 ,-105 ,-110 ,-104 ,-106 ,-109 ,-109 ,-108 ,-109 ,-95 ,-109 ,-104 ,-111 ,-104 ,-112 ,-101 ,-109 ,-106 ,-111 ,-111 ,-108 ,-107 ,-101 ,-104 ,-110 ,-108 ,-107 ,-114 ,-105 ,-108 ,-107 ,-99
Mar Thu 31 00:09:50 2016,  , -107 ,-104 ,-106 ,-98 ,-98 ,-111 ,-103 ,-104 ,-100 ,-104 ,-103 ,-94 ,-96 ,-105 ,-108 ,-103 ,-104 ,-102 ,-102 ,-109 ,-102 ,-109 ,-107 ,-108 ,-110 ,-110 ,-112 ,-110 ,-101 ,-107 ,-109 ,-101 ,-110 ,-104 ,-106 ,-106 ,-106 ,-107 ,-103 ,-104 ,-108 ,-108 ,-107 ,-101 ,-94 ,-98 ,-95 ,-93 ,-99 ,-101 ,-99 ,-103 ,-103 ,-99 ,-103 ,-91 ,-94 ,-93 ,-90 ,-90 ,-70 ,-30 ,-77 ,-61 ,-89 ,-93 ,-88 ,-94 ,-90 ,-95 ,-102 ,-104 ,-101 ,-104 ,-106 ,-86 ,-83 ,-93 ,-94 ,-90 ,-96 ,-105 ,-111 ,-109 ,-105 ,-106 ,-105 ,-112 ,-108 ,-98 ,-108 ,-103 ,-109 ,-109 ,-111 ,-100 ,-109 ,-109 ,-111 ,-112 ,-109 ,-101 ,-104 ,-111 ,-108 ,-101 ,-107 ,-111 ,-102 ,-104 ,-106 ,-104
Mar Thu 31 00:09:52 2016,  , -106 ,-104 ,-98 ,-96 ,-104 ,-109 ,-103 ,-102 ,-99 ,-104 ,-107 ,-96 ,-101 ,-97 ,-103 ,-104 ,-101 ,-104 ,-109 ,-111 ,-106 ,-110 ,-104 ,-112 ,-106 ,-107 ,-105 ,-111 ,-99 ,-109 ,-108 ,-99 ,-107 ,-109 ,-104 ,-108 ,-104 ,-107 ,-107 ,-109 ,-107 ,-105 ,-107 ,-99 ,-99 ,-101 ,-100 ,-93 ,-96 ,-105 ,-105 ,-105 ,-97 ,-105 ,-98 ,-91 ,-94 ,-92 ,-85 ,-87 ,-72 ,-30 ,-77 ,-61 ,-90 ,-92 ,-90 ,-89 ,-89 ,-98 ,-103 ,-107 ,-100 ,-98 ,-101 ,-85 ,-88 ,-96 ,-93 ,-90 ,-98 ,-105 ,-110 ,-109 ,-106 ,-107 ,-110 ,-106 ,-105 ,-100 ,-110 ,-101 ,-107 ,-108 ,-104 ,-102 ,-107 ,-103 ,-113 ,-110 ,-108 ,-107 ,-105 ,-104 ,-104 ,-109 ,-103 ,-107 ,-100 ,-103 ,-109 ,-101
Mar Thu 31 00:09:53 2016,  , -102 ,-108 ,-102 ,-101 ,-104 ,-104 ,-105 ,-102 ,-99 ,-105 ,-100 ,-94 ,-100 ,-100 ,-102 ,-104 ,-100 ,-105 ,-108 ,-104 ,-99 ,-104 ,-106 ,-109 ,-109 ,-108 ,-111 ,-109 ,-100 ,-104 ,-113 ,-105 ,-103 ,-107 ,-107 ,-110 ,-102 ,-106 ,-103 ,-102 ,-105 ,-108 ,-104 ,-100 ,-99 ,-96 ,-97 ,-98 ,-96 ,-102 ,-100 ,-108 ,-100 ,-102 ,-100 ,-96 ,-97 ,-92 ,-90 ,-88 ,-71 ,-30 ,-75 ,-61 ,-90 ,-92 ,-88 ,-89 ,-89 ,-96 ,-102 ,-107 ,-98 ,-104 ,-104 ,-86 ,-85 ,-91 ,-93 ,-92 ,-101 ,-107 ,-114 ,-106 ,-102 ,-108 ,-110 ,-112 ,-112 ,-97 ,-107 ,-98 ,-103 ,-106 ,-112 ,-102 ,-106 ,-105 ,-109 ,-105 ,-110 ,-100 ,-103 ,-108 ,-104 ,-105 ,-107 ,-112 ,-104 ,-103 ,-103 ,-98
Mar Thu 31 00:09:54 2016,  , -104 ,-109 ,-99 ,-101 ,-101 ,-105 ,-105 ,-105 ,-107 ,-104 ,-103 ,-94 ,-103 ,-102 ,-108 ,-100 ,-107 ,-104 ,-110 ,-106 ,-100 ,-110 ,-107 ,-110 ,-113 ,-113 ,-108 ,-113 ,-101 ,-111 ,-107 ,-102 ,-110 ,-109 ,-107 ,-108 ,-103 ,-109 ,-104 ,-105 ,-107 ,-107 ,-110 ,-102 ,-96 ,-99 ,-100 ,-95 ,-99 ,-104 ,-107 ,-102 ,-102 ,-103 ,-102 ,-91 ,-94 ,-93 ,-85 ,-85 ,-70 ,-30 ,-76 ,-62 ,-89 ,-92 ,-93 ,-94 ,-92 ,-98 ,-101 ,-104 ,-96 ,-99 ,-104 ,-88 ,-83 ,-96 ,-93 ,-95 ,-101 ,-108 ,-108 ,-112 ,-102 ,-112 ,-112 ,-111 ,-109 ,-100 ,-109 ,-99 ,-107 ,-109 ,-105 ,-103 ,-106 ,-105 ,-111 ,-108 ,-103 ,-104 ,-103 ,-106 ,-106 ,-108 ,-104 ,-106 ,-104 ,-109 ,-101 ,-102
